"UID","PUBLICATION_DATE","SITE_ID","DATE_COL","VISIT_NO","PSTL_CODE","LAT_DD83","LON_DD83","AG_ECO3","AG_ECO9","EPA_REG","STATE","CHEM_NOT_COLLECTED","WCHL_NOT_COLLECTED","LAB","MATRIX","SAM_CODE","CHEM_DATE_RECEIVED","CHEM_LAB_SAMPLE_ID","AMMONIA_N_BATCH_ID","AMMONIA_N_DATE_ANALYZED","AMMONIA_N_DILUTION_FACTOR","AMMONIA_N_HOLDING_TIME","AMMONIA_N_MDL","AMMONIA_N_NARS_FLAG","AMMONIA_N_QA_FLAG","AMMONIA_N_RESULT","AMMONIA_N_RL","AMMONIA_N_UNITS","ANC_BATCH_ID","ANC_DATE_ANALYZED","ANC_HOLDING_TIME","ANC_MDL","ANC_NARS_FLAG","ANC_QA_FLAG","ANC_RESULT","ANC_RL","ANC_UNITS","CALCIUM_BATCH_ID","CALCIUM_DATE_ANALYZED","CALCIUM_DILUTION_FACTOR","CALCIUM_HOLDING_TIME","CALCIUM_MDL","CALCIUM_NARS_FLAG","CALCIUM_QA_FLAG","CALCIUM_RESULT","CALCIUM_RL","CALCIUM_UNITS","CHLORIDE_BATCH_ID","CHLORIDE_DATE_ANALYZED","CHLORIDE_DILUTION_FACTOR","CHLORIDE_HOLDING_TIME","CHLORIDE_MDL","CHLORIDE_NARS_FLAG","CHLORIDE_QA_FLAG","CHLORIDE_RESULT","CHLORIDE_RL","CHLORIDE_UNITS","COLOR_BATCH_ID","COLOR_DATE_ANALYZED","COLOR_HOLDING_TIME","COLOR_MDL","COLOR_NARS_FLAG","COLOR_QA_FLAG","COLOR_RESULT","COLOR_RL","COLOR_UNITS","COND_BATCH_ID","COND_DATE_ANALYZED","COND_HOLDING_TIME","COND_MDL","COND_NARS_FLAG","COND_QA_FLAG","COND_RESULT","COND_RL","COND_UNITS","DOC_BATCH_ID","DOC_DATE_ANALYZED","DOC_DILUTION_FACTOR","DOC_HOLDING_TIME","DOC_MDL","DOC_NARS_FLAG","DOC_QA_FLAG","DOC_RESULT","DOC_RL","DOC_UNITS","MAGNESIUM_BATCH_ID","MAGNESIUM_DATE_ANALYZED","MAGNESIUM_DILUTION_FACTOR","MAGNESIUM_HOLDING_TIME","MAGNESIUM_MDL","MAGNESIUM_NARS_FLAG","MAGNESIUM_QA_FLAG","MAGNESIUM_RESULT","MAGNESIUM_RL","MAGNESIUM_UNITS","NITRATE_N_BATCH_ID","NITRATE_N_DATE_ANALYZED","NITRATE_N_DILUTION_FACTOR","NITRATE_N_HOLDING_TIME","NITRATE_N_MDL","NITRATE_N_NARS_FLAG","NITRATE_N_QA_FLAG","NITRATE_N_RESULT","NITRATE_N_RL","NITRATE_N_UNITS","NITRATE_NITRITE_N_BATCH_ID","NITRATE_NITRITE_N_DATE_ANALYZED","NITRATE_NITRITE_N_HOLDING_TIME","NITRATE_NITRITE_N_MDL","NITRATE_NITRITE_N_NARS_FLAG","NITRATE_NITRITE_N_QA_FLAG","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_RL","NITRATE_NITRITE_N_UNITS","NITRITE_N_BATCH_ID","NITRITE_N_DATE_ANALYZED","NITRITE_N_DILUTION_FACTOR","NITRITE_N_HOLDING_TIME","NITRITE_N_MDL","NITRITE_N_NARS_FLAG","NITRITE_N_QA_FLAG","NITRITE_N_RESULT","NITRITE_N_RL","NITRITE_N_UNITS","NTL_BATCH_ID","NTL_DATE_ANALYZED","NTL_DISS_BATCH_ID","NTL_DISS_DATE_ANALYZED","NTL_DISS_HOLDING_TIME","NTL_DISS_MDL","NTL_DISS_NARS_FLAG","NTL_DISS_QA_FLAG","NTL_DISS_RESULT","NTL_DISS_UNITS","NTL_HOLDING_TIME","NTL_MDL","NTL_NARS_FLAG","NTL_QA_FLAG","NTL_RESULT","NTL_RL","NTL_UNITS","PH_BATCH_ID","PH_DATE_ANALYZED","PH_HOLDING_TIME","PH_NARS_FLAG","PH_QA_FLAG","PH_RESULT","PH_UNITS","POTASSIUM_BATCH_ID","POTASSIUM_DATE_ANALYZED","POTASSIUM_DILUTION_FACTOR","POTASSIUM_HOLDING_TIME","POTASSIUM_MDL","POTASSIUM_NARS_FLAG","POTASSIUM_QA_FLAG","POTASSIUM_RESULT","POTASSIUM_RL","POTASSIUM_UNITS","PTL_BATCH_ID","PTL_DATE_ANALYZED","PTL_DISS_BATCH_ID","PTL_DISS_DATE_ANALYZED","PTL_DISS_HOLDING_TIME","PTL_DISS_MDL","PTL_DISS_NARS_FLAG","PTL_DISS_QA_FLAG","PTL_DISS_RESULT","PTL_DISS_UNITS","PTL_HOLDING_TIME","PTL_MDL","PTL_NARS_FLAG","PTL_QA_FLAG","PTL_RESULT","PTL_RL","PTL_UNITS","SILICA_BATCH_ID","SILICA_DATE_ANALYZED","SILICA_HOLDING_TIME","SILICA_MDL","SILICA_NARS_FLAG","SILICA_QA_FLAG","SILICA_RESULT","SILICA_RL","SILICA_UNITS","SODIUM_BATCH_ID","SODIUM_DATE_ANALYZED","SODIUM_DILUTION_FACTOR","SODIUM_HOLDING_TIME","SODIUM_MDL","SODIUM_NARS_FLAG","SODIUM_QA_FLAG","SODIUM_RESULT","SODIUM_RL","SODIUM_UNITS","SULFATE_BATCH_ID","SULFATE_DATE_ANALYZED","SULFATE_DILUTION_FACTOR","SULFATE_HOLDING_TIME","SULFATE_MDL","SULFATE_NARS_FLAG","SULFATE_QA_FLAG","SULFATE_RESULT","SULFATE_RL","SULFATE_UNITS","TKN_BATCH_ID","TKN_DATE_ANALYZED","TKN_HOLDING_TIME","TKN_MDL","TKN_NARS_FLAG","TKN_QA_FLAG","TKN_RESULT","TKN_RL","TKN_UNITS","TSS_BATCH_ID","TSS_DATE_ANALYZED","TSS_HOLDING_TIME","TSS_MDL","TSS_NARS_FLAG","TSS_QA_FLAG","TSS_RESULT","TSS_RL","TSS_UNITS","TURB_BATCH_ID","TURB_DATE_ANALYZED","TURB_HOLDING_TIME","TURB_MDL","TURB_NARS_FLAG","TURB_QA_FLAG","TURB_RESULT","TURB_RL","TURB_UNITS","WCHL_DATE_RECEIVED","WCHL_LAB_SAMPLE_ID","CHLA_BATCH_ID","CHLA_DATE_ANALYZED","CHLA_HOLDING_TIME","CHLA_MDL","CHLA_NARS_FLAG","CHLA_RESULT","CHLA_RL","CHLA_UNITS","CHLA_VOLUME_FILTERED","PHEO_BATCH_ID","PHEO_DATE_ANALYZED","PHEO_HOLDING_TIME","PHEO_NARS_FLAG","PHEO_RESULT","PHEO_RL"
2012820,"4/28/2021","NRS18_KS_10005","7/9/2018",1,"KS",37.88164692,-95.67600729,"PLNLOW","TPL","Region_07","KS","","","WRS","WATER","REGULAR",1,0,"180731.2","7/31/2018",NA,22,0.001,"","",0.046,0.004,"mg N/L","180711.1","7/11/2018",2,NA,"","",1928.05,NA,"uEQ/L","33118.1","11/27/2018",NA,141,0.012,"","",30.049,0.024,"mg/L","180713.1","7/13/2018",NA,4,0.003,"","",7.576,0.005,"mg/L","180711","7/11/2018",2,NA,"","",13,NA,"APHA PT-CO","180711.1","7/11/2018",2,NA,"","",235.8,2,"uS/cm at 25 C","180720.1","7/20/2018",NA,11,0.026,"","",6.8,0.2,"mg/L","33118.1","11/27/2018",NA,141,0.001,"","",6.461,0.002,"mg/L","180713.1","7/13/2018",NA,4,2e-04,"","",0.0353,0.0025,"mg N/L","","",NA,NA,"","",NA,NA,"","180713.1","7/13/2018",NA,4,1e-04,"L","EST","3.00E-04",0.001,"mg N/L","180723.1","7/23/2018",180718.1,"7/18/2018",9,0.008,"","",0.57,"mg N/L",14,0.008,"","",0.789,0.02,"mg N/L","180711.1","7/11/2018",2,"","",8.08,"Std. Units","33118.1","11/27/2018",NA,141,0.027,"","",5.264,0.054,"mg/L","180723.1","7/23/2018",180718.1,"7/18/2018",9,0.5,"","",31.897,"ug/L",14,0.5,"","",111.091,4,"ug/L","180712.2","7/12/2018",3,0.003,"","",7.802,0.01,"mg/L","33118.1","11/27/2018",NA,141,0.003,"","",9.174,0.006,"mg/L","180713.1","7/13/2018",NA,4,0.001,"","",9.313,0.08,"mg/L","","",NA,NA,"","","",NA,"","180711.1","7/11/2018",2,NA,"","","17.4",2,"mg/L","180711.1","7/11/2018",2,NA,"","",33.05,1,"NTU","7/11/2018","","180718.1","7/18/2018",9,0.24,"","6.35",NA,"ug/L",250,"","",NA,"","",NA
2012821,"4/28/2021","NRS18_SD_10003","7/9/2018",1,"SD",43.24111507,-99.18715736,"PLNLOW","NPL","Region_08","SD","","","WRS","WATER","REGULAR",1,0,"180731.2","7/31/2018",NA,22,0.001,"","",0.045,0.004,"mg N/L","180711.1","7/11/2018",2,NA,"","",6359.89,NA,"uEQ/L","33118.1","11/27/2018",NA,141,0.012,"","",163.286,0.024,"mg/L","180713.1","7/13/2018",NA,4,0.003,"","",35.674,0.005,"mg/L","180711","7/11/2018",2,NA,"","",58,NA,"APHA PT-CO","180711.1","7/11/2018",2,NA,"","",1369.5,2,"uS/cm at 25 C","180720.1","7/20/2018",NA,11,0.026,"","",16.97,0.2,"mg/L","33118.1","11/27/2018",NA,141,0.001,"","",44.415,0.002,"mg/L","180713.1","7/13/2018",NA,4,2e-04,"","",0.828,0.0025,"mg N/L","","",NA,NA,"","",NA,NA,"","180713.1","7/13/2018",NA,4,1e-04,"","","0.0045",0.001,"mg N/L","180723.1","7/23/2018",180725.1,"7/25/2018",16,0.008,"","",2.466,"mg N/L",14,0.008,"","",2.872,0.02,"mg N/L","180711.1","7/11/2018",2,"","",8.17,"Std. Units","33118.1","11/27/2018",NA,141,0.027,"","",40.964,0.054,"mg/L","180723.1","7/23/2018",180718.1,"7/18/2018",9,0.5,"","",459.897,"ug/L",14,0.5,"","",622.331,4,"ug/L","180712.4","7/12/2018",3,0.003,"","",22.54,0.01,"mg/L","33118.1","11/27/2018",NA,141,0.003,"","",74.155,0.006,"mg/L","180713.1","7/13/2018",NA,4,0.001,"","",385.052,0.08,"mg/L","","",NA,NA,"","","",NA,"","180711.1","7/11/2018",2,NA,"","","28.6",2,"mg/L","180711.1","7/11/2018",2,NA,"","",22.82,1,"NTU","7/11/2018","","180718.1","7/18/2018",9,0.24,"","32",NA,"ug/L",250,"","",NA,"","",NA
2012822,"4/28/2021","NRS18_NV_10638","7/9/2018",1,"NV",41.02540222,-115.5300398,"WMTNS","XER","Region_09","NV","","","WRS","WATER","REGULAR",1,0,"180731.2","7/31/2018",NA,22,0.001,"","",0.06,0.004,"mg N/L","180711.1","7/11/2018",2,NA,"","",2577.79,NA,"uEQ/L","33218.1","11/28/2018",NA,142,0.012,"","",24.492,0.024,"mg/L","180713.1","7/13/2018",NA,4,0.003,"","",18.331,0.005,"mg/L","180711","7/11/2018",2,NA,"","",18,NA,"APHA PT-CO","180711.1","7/11/2018",2,NA,"","",417.7,2,"uS/cm at 25 C","180720.1","7/20/2018",NA,11,0.026,"","",4.99,0.2,"mg/L","33218.1","11/28/2018",NA,142,0.001,"","",12.503,0.002,"mg/L","180713.1","7/13/2018",NA,4,2e-04,"L","EST",5e-04,0.0025,"mg N/L","","",NA,NA,"","",NA,NA,"","180713.1","7/13/2018",NA,4,1e-04,"ND","MDL (0.0001)","",0.001,"","180723.1","7/23/2018",180718.1,"7/18/2018",9,0.008,"","",0.557,"mg N/L",14,0.008,"","",0.868,0.02,"mg N/L","180711.1","7/11/2018",2,"","",8.38,"Std. Units","33218.1","11/28/2018",NA,142,0.027,"","",10.501,0.054,"mg/L","180723.1","7/23/2018",180718.1,"7/18/2018",9,0.5,"","",37.147,"ug/L",14,0.5,"","",89.966,4,"ug/L","180712.4","7/12/2018",3,0.003,"","",22.225,0.01,"mg/L","33218.1","11/28/2018",NA,142,0.003,"","",37.123,0.006,"mg/L","180713.1","7/13/2018",NA,4,0.001,"","",47.825,0.08,"mg/L","","",NA,NA,"","","",NA,"","180711.1","7/11/2018",2,NA,"","","12.4",2,"mg/L","180712.1","7/12/2018",3,NA,"","",5.66,1,"NTU","7/11/2018","","180723.1","7/23/2018",14,0.24,"","12.06",NA,"ug/L",250,"","",NA,"","",NA
2012823,"4/28/2021","NRS18_WA_10014","7/9/2018",2,"WA",47.18230382,-120.9080718,"WMTNS","WMT","Region_10","WA","","","WRS","WATER","REGULAR",1,0,"180731.3","7/31/2018",NA,22,0.001,"","",0.005,0.004,"mg N/L","180711.1","7/11/2018",2,NA,"","",438.83,NA,"uEQ/L","33218.1","11/28/2018",NA,142,0.012,"","",4.548,0.024,"mg/L","180713.1","7/13/2018",NA,4,0.003,"","",0.823,0.005,"mg/L","180711","7/11/2018",2,NA,"","",2,NA,"APHA PT-CO","180711.1","7/11/2018",2,NA,"","",47.1,2,"uS/cm at 25 C","180720.1","7/20/2018",NA,11,0.026,"","",0.92,0.2,"mg/L","33218.1","11/28/2018",NA,142,0.001,"","",2.211,0.002,"mg/L","180713.1","7/13/2018",NA,4,2e-04,"","",0.0056,0.0025,"mg N/L","","",NA,NA,"","",NA,NA,"","180713.1","7/13/2018",NA,4,1e-04,"L","EST","2.00E-04",0.001,"mg N/L","180723.1","7/23/2018",180718.1,"7/18/2018",9,0.008,"","",0.058,"mg N/L",14,0.008,"","",0.053,0.02,"mg N/L","180711.1","7/11/2018",2,"","",7.75,"Std. Units","33218.1","11/28/2018",NA,142,0.027,"","",0.176,0.054,"mg/L","180723.1","7/23/2018",180718.1,"7/18/2018",9,0.5,"","",9.51,"ug/L",14,0.5,"","",9.666,4,"ug/L","180712.3","7/12/2018",3,0.003,"","",6.393,0.01,"mg/L","33218.1","11/28/2018",NA,142,0.003,"","",1.34,0.006,"mg/L","180713.1","7/13/2018",NA,4,0.001,"","",0.727,0.08,"mg/L","","",NA,NA,"","","",NA,"","180711.1","7/11/2018",2,NA,"L","LRL (2)","1.2",2,"mg/L","180711.1","7/11/2018",2,NA,"L","LRL (1)",0.76,1,"NTU","7/11/2018","","180723.1","7/23/2018",14,0.24,"","1",NA,"ug/L",1500,"","",NA,"","",NA
2012824,"4/28/2021","NRS18_RI_10003","7/10/2018",1,"RI",41.8480454,-71.78683775,"EHIGH","NAP","Region_01","RI","","","WRS","WATER","REGULAR",1,0,"180731.2","7/31/2018",NA,21,0.001,"","",0.035,0.004,"mg N/L","180711.1","7/11/2018",1,NA,"","",19.91,NA,"uEQ/L","33218.1","11/28/2018",NA,141,0.012,"","",1.062,0.024,"mg/L","180713.1","7/13/2018",NA,3,0.003,"","",3.025,0.005,"mg/L","180711","7/11/2018",1,NA,"","",190,NA,"APHA PT-CO","180711.1","7/11/2018",1,NA,"","",26.8,2,"uS/cm at 25 C","180720.1","7/20/2018",NA,10,0.026,"","",17.57,0.2,"mg/L","33218.1","11/28/2018",NA,141,0.001,"","",0.329,0.002,"mg/L","180713.1","7/13/2018",NA,3,2e-04,"","",0.0092,0.0025,"mg N/L","","",NA,NA,"","",NA,NA,"","180713.1","7/13/2018",NA,3,1e-04,"ND","MDL (0.0001)","",0.001,"","180723.1","7/23/2018",180718.1,"7/18/2018",8,0.008,"","",0.49,"mg N/L",13,0.008,"","",0.577,0.02,"mg N/L","180711.1","7/11/2018",1,"","",5.16,"Std. Units","33218.1","11/28/2018",NA,141,0.027,"","",0.39,0.054,"mg/L","180723.1","7/23/2018",180718.1,"7/18/2018",8,0.5,"","",26.522,"ug/L",13,0.5,"","",39.341,4,"ug/L","180712.4","7/12/2018",2,0.003,"","",16.186,0.01,"mg/L","33218.1","11/28/2018",NA,141,0.003,"","",3.051,0.006,"mg/L","180713.1","7/13/2018",NA,3,0.001,"","",1.309,0.08,"mg/L","","",NA,NA,"","","",NA,"","180711.1","7/11/2018",1,NA,"","","2.6",2,"mg/L","180711.1","7/11/2018",1,NA,"","",1.37,1,"NTU","7/11/2018","","180723.1","7/23/2018",13,0.24,"","0.71",NA,"ug/L",250,"","",NA,"","",NA
2012825,"4/28/2021","NRS18_PA_10020","7/10/2018",1,"PA",41.64813087,-75.78612077,"EHIGH","NAP","Region_03","PA","","","WRS","WATER","REGULAR",1,0,"180731.2","7/31/2018",NA,21,0.001,"","",0.02,0.004,"mg N/L","180711.1","7/11/2018",1,NA,"","",905.35,NA,"uEQ/L","33218.1","11/28/2018",NA,141,0.012,"","",16.238,0.024,"mg/L","180713.1","7/13/2018",NA,3,0.003,"","",14.378,0.005,"mg/L","180711","7/11/2018",1,NA,"","",3,NA,"APHA PT-CO","180711.1","7/11/2018",1,NA,"","",160.2,2,"uS/cm at 25 C","180720.1","7/20/2018",NA,10,0.026,"","",2.16,0.2,"mg/L","33218.1","11/28/2018",NA,141,0.001,"","",2.643,0.002,"mg/L","180713.1","7/13/2018",NA,3,2e-04,"","",0.1069,0.0025,"mg N/L","","",NA,NA,"","",NA,NA,"","180713.1","7/13/2018",NA,3,1e-04,"L","EST","3.00E-04",0.001,"mg N/L","180723.1","7/23/2018",180718.1,"7/18/2018",8,0.008,"","",0.295,"mg N/L",13,0.008,"","",0.302,0.02,"mg N/L","180711.1","7/11/2018",1,"","",8.03,"Std. Units","33218.1","11/28/2018",NA,141,0.027,"","",1.667,0.054,"mg/L","180723.1","7/23/2018",180718.1,"7/18/2018",8,0.5,"","",17.397,"ug/L",13,0.5,"","",25.716,4,"ug/L","180712.3","7/12/2018",2,0.003,"","",1.913,0.01,"mg/L","33218.1","11/28/2018",NA,141,0.003,"","",10.052,0.006,"mg/L","180713.1","7/13/2018",NA,3,0.001,"","",7.512,0.08,"mg/L","","",NA,NA,"","","",NA,"","180711.1","7/11/2018",1,NA,"L","LRL (2)","1",2,"mg/L","180711.1","7/11/2018",1,NA,"","",1.87,1,"NTU","7/11/2018","","180723.1","7/23/2018",13,0.24,"","1.32",NA,"ug/L",1000,"","",NA,"","",NA
2012826,"4/28/2021","NRS18_NY_10035","7/10/2018",1,"NY",43.80096023,-75.46668635,"EHIGH","NAP","Region_02","NY","","","WRS","WATER","REGULAR",1,0,"180731.2","7/31/2018",NA,21,0.001,"","",0.03,0.004,"mg N/L","180711.1","7/11/2018",1,NA,"","",579.63,NA,"uEQ/L","33218.1","11/28/2018",NA,141,0.012,"","",10.593,0.024,"mg/L","180713.1","7/13/2018",NA,3,0.003,"","",4.698,0.005,"mg/L","180711","7/11/2018",1,NA,"","",26,NA,"APHA PT-CO","180711.1","7/11/2018",1,NA,"","",86.2,2,"uS/cm at 25 C","180720.1","7/20/2018",NA,10,0.026,"","",3.49,0.2,"mg/L","33218.1","11/28/2018",NA,141,0.001,"","",1.244,0.002,"mg/L","180713.1","7/13/2018",NA,3,2e-04,"","",0.132,0.0025,"mg N/L","","",NA,NA,"","",NA,NA,"","180713.1","7/13/2018",NA,3,1e-04,"","","0.0031",0.001,"mg N/L","180723.1","7/23/2018",180718.1,"7/18/2018",8,0.008,"","",0.333,"mg N/L",13,0.008,"","",0.381,0.02,"mg N/L","180711.1","7/11/2018",1,"","",7.75,"Std. Units","33218.1","11/28/2018",NA,141,0.027,"","",0.719,0.054,"mg/L","180723.1","7/23/2018",180718.1,"7/18/2018",8,0.5,"","",9.447,"ug/L",13,0.5,"","",23.716,4,"ug/L","180712.3","7/12/2018",2,0.003,"","",7.295,0.01,"mg/L","33218.1","11/28/2018",NA,141,0.003,"","",4.226,0.006,"mg/L","180713.1","7/13/2018",NA,3,0.001,"","",3.694,0.08,"mg/L","","",NA,NA,"","","",NA,"","180711.1","7/11/2018",1,NA,"","","3.1",2,"mg/L","180711.1","7/11/2018",1,NA,"","",2.95,1,"NTU","7/11/2018","","180723.1","7/23/2018",13,0.24,"","2.84",NA,"ug/L",600,"","",NA,"","",NA
2012827,"4/28/2021","NRS18_AR_10010","7/10/2018",1,"AR",35.60183834,-89.9021205,"PLNLOW","CPL","Region_06","AR","","","WRS","WATER","REGULAR",1,0,"180731.3","7/31/2018",NA,21,0.001,"","",0.01,0.004,"mg N/L","180712.1","7/12/2018",2,NA,"","",1843.02,NA,"uEQ/L","33218.1","11/28/2018",NA,141,0.012,"","",44.967,0.024,"mg/L","180713.1","7/13/2018",NA,3,0.003,"","",16.888,0.005,"mg/L","180712","7/12/2018",2,NA,"","",6,NA,"APHA PT-CO","190307.1","3/7/2019",240,NA,"H","H",402,2,"uS/cm at 25 C","180720.1","7/20/2018",NA,10,0.026,"","",3.84,0.2,"mg/L","33218.1","11/28/2018",NA,141,0.001,"","",14.671,0.002,"mg/L","180713.1","7/13/2018",NA,3,2e-04,"","",2.8227,0.0025,"mg N/L","","",NA,NA,"","",NA,NA,"","180713.1","7/13/2018",NA,3,1e-04,"L","EST","2.00E-04",0.001,"mg N/L","180723.1","7/23/2018",180725.1,"7/25/2018",15,0.008,"","",3.084,"mg N/L",13,0.008,"","",3.653,0.02,"mg N/L","180712.1","7/12/2018",2,"","",8.1,"Std. Units","33218.1","11/28/2018",NA,141,0.027,"","",4.122,0.054,"mg/L","180723.1","7/23/2018",180718.1,"7/18/2018",8,0.5,"","",134.897,"ug/L",13,0.5,"","",415.466,4,"ug/L","180717.2","7/17/2018",7,0.003,"","",11.22,0.01,"mg/L","33218.1","11/28/2018",NA,141,0.003,"","",15.769,0.006,"mg/L","180713.1","7/13/2018",NA,3,0.001,"","",37.791,0.08,"mg/L","","",NA,NA,"","","",NA,"","180713.1","7/13/2018",3,NA,"","","230.1",2,"mg/L","180912.7","9/12/2018",64,NA,"H","H",124,1,"NTU","7/12/2018","","180723.1","7/23/2018",13,0.24,"","11.12",NA,"ug/L",100,"","",NA,"","",NA
2012828,"4/28/2021","NRS18_NE_10021","7/10/2018",1,"NE",41.46290038,-95.95535348,"PLNLOW","TPL","Region_07","NE","","","WRS","WATER","REGULAR",1,0,"180731.3","7/31/2018",NA,21,0.001,"","",0.034,0.004,"mg N/L","180712.1","7/12/2018",2,NA,"","",4227.07,NA,"uEQ/L","33218.1","11/28/2018",NA,141,0.012,"","",78.55,0.024,"mg/L","180713.1","7/13/2018",NA,3,0.003,"","",15.904,0.005,"mg/L","180712","7/12/2018",2,NA,"","",4,NA,"APHA PT-CO","180712.1","7/12/2018",2,NA,"","",831.2,2,"uS/cm at 25 C","180720.1","7/20/2018",NA,10,0.026,"","",4.45,0.2,"mg/L","33218.1","11/28/2018",NA,141,0.001,"","",33.31,0.002,"mg/L","180713.1","7/13/2018",NA,3,2e-04,"","",2.1804,0.0025,"mg N/L","","",NA,NA,"","",NA,NA,"","180713.1","7/13/2018",NA,3,1e-04,"","","0.0103",0.001,"mg N/L","180723.1","7/23/2018",180725.1,"7/25/2018",15,0.008,"","",2.747,"mg N/L",13,0.008,"","",2.897,0.02,"mg N/L","180712.1","7/12/2018",2,"","",8.44,"Std. Units","33218.1","11/28/2018",NA,141,0.027,"","",6.835,0.054,"mg/L","180723.1","7/23/2018",180718.1,"7/18/2018",8,0.5,"","",118.272,"ug/L",13,0.5,"","",319.216,4,"ug/L","180717.2","7/17/2018",7,0.003,"","",13.664,0.01,"mg/L","33218.1","11/28/2018",NA,141,0.003,"","",53.634,0.006,"mg/L","180713.1","7/13/2018",NA,3,0.001,"","",197.685,0.08,"mg/L","","",NA,NA,"","","",NA,"","180713.1","7/13/2018",3,NA,"","","186.6",2,"mg/L","180712.1","7/12/2018",2,NA,"","",57.52,1,"NTU","7/12/2018","","180723.1","7/23/2018",13,0.24,"","19.2",NA,"ug/L",100,"","",NA,"","",NA
2012829,"4/28/2021","NRS18_GA_10001","7/10/2018",2,"GA",34.06954655,-84.53634847,"EHIGH","SAP","Region_04","GA","","","WRS","WATER","REGULAR",1,0,"180731.2","7/31/2018",NA,21,0.001,"","",0.029,0.004,"mg N/L","180711.1","7/11/2018",1,NA,"","",993.9,NA,"uEQ/L","33218.1","11/28/2018",NA,141,0.012,"","",12.41,0.024,"mg/L","180713.1","7/13/2018",NA,3,0.003,"","",4.796,0.005,"mg/L","180711","7/11/2018",1,NA,"","",14,NA,"APHA PT-CO","180711.1","7/11/2018",1,NA,"","",124.8,2,"uS/cm at 25 C","180720.1","7/20/2018",NA,10,0.026,"","",1.9,0.2,"mg/L","33218.1","11/28/2018",NA,141,0.001,"","",3.988,0.002,"mg/L","180713.1","7/13/2018",NA,3,2e-04,"","",0.3471,0.0025,"mg N/L","","",NA,NA,"","",NA,NA,"","180713.1","7/13/2018",NA,3,1e-04,"","","0.0013",0.001,"mg N/L","180723.1","7/23/2018",180718.1,"7/18/2018",8,0.008,"","",0.522,"mg N/L",13,0.008,"","",0.556,0.02,"mg N/L","180711.1","7/11/2018",1,"","",7.92,"Std. Units","33218.1","11/28/2018",NA,141,0.027,"","",2.31,0.054,"mg/L","180723.1","7/23/2018",180718.1,"7/18/2018",8,0.5,"","",13.897,"ug/L",13,0.5,"","",26.841,4,"ug/L","180712.4","7/12/2018",2,0.003,"","",16.105,0.01,"mg/L","33218.1","11/28/2018",NA,141,0.003,"","",5.215,0.006,"mg/L","180713.1","7/13/2018",NA,3,0.001,"","",3.227,0.08,"mg/L","","",NA,NA,"","","",NA,"","180711.1","7/11/2018",1,NA,"","","3.9",2,"mg/L","180711.1","7/11/2018",1,NA,"","",4.99,1,"NTU","7/12/2018","","180723.1","7/23/2018",13,0.24,"","1.23",NA,"ug/L",250,"","",NA,"","",NA
2012830,"4/28/2021","NRS18_AL_10016","7/10/2018",1,"AL",33.58483101,-87.0957233,"EHIGH","SAP","Region_04","AL","","","WRS","WATER","REGULAR",1,0,"180731.2","7/31/2018",NA,21,0.001,"","",0.015,0.004,"mg N/L","180711.1","7/11/2018",1,NA,"","",1537.41,NA,"uEQ/L","33118.1","11/27/2018",NA,140,0.012,"","",31.56,0.024,"mg/L","180713.1","7/13/2018",NA,3,0.003,"","",5.818,0.005,"mg/L","180711","7/11/2018",1,NA,"","",4,NA,"APHA PT-CO","180711.1","7/11/2018",1,NA,"","",328.8,2,"uS/cm at 25 C","180720.1","7/20/2018",NA,10,0.026,"","",2.69,0.2,"mg/L","33118.1","11/27/2018",NA,140,0.001,"","",15.057,0.002,"mg/L","180713.1","7/13/2018",NA,3,2e-04,"","",0.9987,0.0025,"mg N/L","","",NA,NA,"","",NA,NA,"","180713.1","7/13/2018",NA,3,1e-04,"","","0.0022",0.001,"mg N/L","180723.1","7/23/2018",180718.1,"7/18/2018",8,0.008,"","",1.331,"mg N/L",13,0.008,"","",1.407,0.02,"mg N/L","180711.1","7/11/2018",1,"","",8.06,"Std. Units","33118.1","11/27/2018",NA,140,0.027,"","",3.469,0.054,"mg/L","180723.1","7/23/2018",180718.1,"7/18/2018",8,0.5,"","",45.647,"ug/L",13,0.5,"","",77.591,4,"ug/L","180712.2","7/12/2018",2,0.003,"","",6.243,0.01,"mg/L","33118.1","11/27/2018",NA,140,0.003,"","",11.992,0.006,"mg/L","180713.1","7/13/2018",NA,3,0.001,"","",66.481,0.08,"mg/L","","",NA,NA,"","","",NA,"","180711.1","7/11/2018",1,NA,"","","3.9",2,"mg/L","180711.1","7/11/2018",1,NA,"","",4.71,1,"NTU","7/11/2018","","180718.1","7/18/2018",8,0.24,"","7.89",NA,"ug/L",250,"","",NA,"","",NA
